ObjectId,mode,season,route_id,route_name,direction_id,day_type_id,day_type_name,time_period_id,time_period_name,stop_name,stop_id,total_ons,total_offs,number_service_days,average_ons,average_offs,average_flow,odds_on,odds_off,std_dev_ons,mean_ons,std_dev_offs,mean_offs
53,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Lechmere,place-lech,60734,0,77,789,0,789,0.0084247167736217,0.0,19.139836293274126,804.6666666666666,0.0,0.0
54,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Longwood Medical Area,place-lngmd,838,7853,77,11,102,298,0.0001174548599617,0.0010891268832819,7.54983443527075,19.0,41.2189276910499,149.0
55,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Longwood,place-longw,5734,5023,77,74,65,675,0.0007901508761064,0.0006940514452286,50.46120622154541,131.33333333333334,23.692474191889147,92.33333333333333
56,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Museum of Fine Arts,place-mfa,775,5122,77,10,67,390,0.0001067771454197,0.0007154068743126,12.529964086141668,22.0,35.16153201061258,106.66666666666667
57,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Mission Park,place-mispk,84,5006,77,1,65,105,1.0677714541979436e-05,0.0006940514452286,3.0,4.0,16.64331697709324,84.0
58,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Newton Highlands,place-newtn,335,4846,77,4,63,294,4.271085816791774e-05,0.0006726960161447,5.131601439446884,8.333333333333334,34.87119154832539,103.0
59,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Newton Centre,place-newto,596,4894,77,8,64,352,8.542171633583548e-05,0.0006833737306866,5.291502622129181,10.0,65.89638330996121,137.66666666666666
60,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_04,MIDDAY_BASE,Riverway,place-rvrwy,91,3905,77,1,51,63,8.07161133577096e-06,0.0004116521781243,3.4641016151377544,3.0,10.214368964029708,55.333333333333336
61,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,North Station,place-north,49784,7061,77,647,92,1347,0.0069084813086606,0.0009823497378621,80.9503963342161,739.1666666666666,123.7396460314963,225.5
62,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Northeastern University,place-nuniv,2397,10702,77,31,139,446,0.0003310091508013,0.0014842023213351,24.0,55.0,37.87259343289463,169.66666666666666
63,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Park Street,place-pktrm,195121,114785,77,2534,1491,4422,0.0270573286493758,0.0159204723820913,265.9553847295945,2784.6666666666665,369.2724829535321,1847.8333333333333
64,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Pleasant Street,place-plsgr,1039,3295,77,13,43,669,0.0001388102890457,0.0004591417253051,9.16515138991168,23.0,35.07610772781572,79.33333333333333
65,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Prudential,place-prmnl,4253,29944,77,55,389,748,0.0005872742998088,0.00415363095683,11.372481406154654,67.66666666666667,20.074859899884732,370.0
66,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Riverside,place-river,0,4054,77,0,53,0,0.0,0.0005659188707249,0.0,0.0,5.033222956847167,58.333333333333336
67,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Reservoir,place-rsmnl,1768,8883,77,23,115,449,0.0002455874344655,0.0012279371723276,14.047538337136984,36.333333333333336,61.45187819207264,182.66666666666666
68,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Riverway,place-rvrwy,58,3909,77,1,51,55,1.0677714541979436e-05,0.0005445634416409,1.1547005383792517,1.6666666666666667,13.428824718989123,56.666666666666664
69,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Saint Mary Street,place-smary,2818,5899,77,37,77,379,0.0003950754380532,0.0008221840197324,24.440403706431145,42.333333333333336,29.143323992525858,110.33333333333333
70,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,South Street,place-sougr,0,1110,77,0,14,20,0.0,0.0001494880035877,0.0,0.0,10.408329997330664,25.666666666666668
71,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Science Park,place-spmnl,56391,56160,77,732,729,792,0.0078160870447289,0.007784053901103,224.97185009092433,475.6666666666667,280.25167260874645,408.0
72,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Sutherland Road,place-sthld,109,2181,77,1,28,102,1.0677714541979436e-05,0.0002989760071754,3.5118845842842465,4.666666666666667,25.357444666211933,57.0
73,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Saint Paul Street,place-stplb,1485,3680,77,19,48,698,0.0002028765762976,0.000512530298015,13.650396819628847,31.333333333333332,21.656407827707714,73.0
74,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Saint Paul Street,place-stpul,519,1900,77,7,25,342,7.474400179385604e-05,0.0002669428635494,3.511884584284246,10.333333333333334,21.221058723196006,49.333333333333336
75,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Summit Ave.,place-sumav,695,3691,77,9,48,201,9.609943087781492e-05,0.000512530298015,9.60902353693305,19.333333333333332,12.583057392117915,59.666666666666664
76,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Symphony,place-symcl,3428,18412,77,45,239,554,0.000480497154389,0.002551973775533,4.725815626252609,50.333333333333336,24.5017006212494,263.6666666666667
77,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Tappan Street,place-tapst,229,2819,77,3,37,90,3.20331436259383e-05,0.0003950754380532,1.5275252316519465,4.333333333333333,18.823743871327334,49.333333333333336
78,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Waban,place-waban,109,1641,77,1,21,250,1.0677714541979436e-05,0.0002242320053815,1.5275252316519465,2.3333333333333335,24.419937209856485,48.333333333333336
79,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Washington Street,place-wascm,687,6057,77,9,79,129,9.609943087781492e-05,0.0008435394488163,7.211102550927978,17.0,42.12283624512164,116.33333333333333
80,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Woodland,place-woodl,2,3006,77,0,39,211,0.0,0.0004164308671371,0.0,0.0,27.730849247724095,54.0
81,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Warren Street,place-wrnst,904,5835,77,12,76,199,0.0001281325745037,0.0008115063051904,10.016652800877813,23.333333333333332,29.36551265231604,107.66666666666667
82,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Allston Street,place-alsgr,978,9838,77,13,128,532,7.810857091356986e-05,0.0007690690059182,6.506407098647712,19.333333333333332,65.60741827974435,183.66666666666666
83,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Arlington,place-armnl,58915,63800,77,765,829,7881,0.0045963889806831,0.0049809234836422,73.2006375199925,843.3333333333334,32.39341496868358,791.6666666666666
84,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Babcock Street,place-babck,1281,10913,77,17,142,1218,0.0001021419773485,0.0008531859284405,12.583057392117917,28.666666666666668,26.764404221527766,166.33333333333334
85,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Back of the Hill,place-bckhl,0,3031,77,0,39,73,0.0,0.0002343257127407,1.1547005383792517,0.6666666666666666,12.165525060596439,45.0
86,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Beaconsfield,place-bcnfd,613,9776,77,8,127,1049,4.806681286988915e-05,0.0007630606543094,10.066445913694333,17.333333333333332,72.74842495431317,210.66666666666666
87,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Washington Square,place-bcnwa,451,7361,77,6,96,293,3.605010965241686e-05,0.0005768017544386,3.0,9.0,49.652123150307816,136.66666666666666
88,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Blandford Street,place-bland,4158,4871,77,54,63,1448,0.0003244509868717,0.0003785261513503,31.182259913824932,77.66666666666667,16.822603841260722,76.0
89,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Brandon Hall,place-bndhl,129,3236,77,2,42,450,1.2016703217472288e-05,0.0002523507675669,6.658328118479393,6.333333333333333,42.524502740576914,85.33333333333333
90,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Boylston,place-boyls,85739,48170,77,1113,626,7944,0.0066872953405233,0.0037612281070688,77.0,1190.0,47.16283847833306,587.6666666666666
91,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Packards Corner,place-brico,3025,12287,77,39,160,1098,0.0002343257127407,0.0009613362573977,27.970222261064233,49.333333333333336,104.53229166147655,266.0
92,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Brookline Hills,place-brkhl,992,6954,77,13,90,1168,7.810857091356986e-05,0.0005407516447862,37.986839826445156,47.0,51.520222566807035,142.33333333333334
93,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Brigham Circle,place-brmnl,1209,10274,77,16,133,402,9.61336257397783e-05,0.0007991107639619,9.71253485622231,24.333333333333332,59.55109850652071,187.33333333333334
94,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Boston Univ. Central,place-bucen,4027,5121,77,52,67,1443,0.0003124342836542,0.0004025595577853,53.52880844305553,111.33333333333333,20.502032419575706,87.66666666666667
95,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Boston Univ. East,place-buest,4015,3358,77,52,44,1457,0.0003124342836542,0.0002643674707843,32.624121954978854,89.66666666666667,30.199337741083,76.0
96,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Boston Univ. West,place-buwst,2162,3190,77,28,41,1429,0.0001682338450446,0.0002463424159581,13.316656236958785,43.333333333333336,36.82843104631711,80.33333333333333
97,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Brookline Village,place-bvmnl,2700,15112,77,35,196,1245,0.0002102923063057,0.0011776369153122,45.09249752822894,81.66666666666667,54.50076452063157,258.6666666666667
98,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Chestnut Hill,place-chhil,1036,5206,77,13,68,778,7.810857091356986e-05,0.000408567909394,19.2180470738661,30.333333333333332,55.5097589017763,127.33333333333333
99,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Chestnut Hill Ave.,place-chill,251,3432,77,3,45,62,1.802505482620843e-05,0.0002703758223931,2.309401076758503,5.666666666666667,24.846193538112296,58.333333333333336
100,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Chiswick Road,place-chswk,165,6445,77,2,84,104,1.2016703217472288e-05,0.0005047015351338,0.5773502691896258,2.6666666666666665,22.744962812309307,102.66666666666667
101,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Cleveland Circle,place-clmnl,0,3286,77,0,43,0,0.0,0.0002583591191756,0.0,0.0,17.320508075688775,53.0
102,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_04,MIDDAY_BASE,Saint Mary Street,place-smary,2191,9535,77,28,124,386,0.0002260051174015,0.0010008798056355,27.465129406819358,36.333333333333336,48.53864439804639,180.0
