Half Hour,Stop Name,Route Or Line,Exits,Entries,dayofweek,day
11/1/2023 07:00,Maverick,Blue Line,4,19,Wednesday,Weekday
11/1/2023 07:00,Maverick,Blue Line,57,110,Wednesday,Weekday
11/1/2023 07:00,Orient Heights,Blue Line,1,41,Wednesday,Weekday
11/1/2023 07:00,Orient Heights,Blue Line,3,82,Wednesday,Weekday
11/1/2023 07:00,Orient Heights,Blue Line,2,16,Wednesday,Weekday
11/1/2023 07:00,Orient Heights,Blue Line,3,129,Wednesday,Weekday
11/1/2023 07:00,Revere Beach,Blue Line,0,16,Wednesday,Weekday
11/1/2023 07:00,Revere Beach,Blue Line,8,177,Wednesday,Weekday
11/1/2023 07:00,Revere Beach,Blue Line,9,15,Wednesday,Weekday
11/1/2023 07:00,State Street,Blue Line,1,1,Wednesday,Weekday
11/1/2023 07:00,State Street,Blue Line,14,1,Wednesday,Weekday
11/1/2023 07:00,State Street,Blue Line,1,0,Wednesday,Weekday
11/1/2023 07:00,State Street,Blue Line,27,3,Wednesday,Weekday
11/1/2023 07:00,Suffolk Downs,Blue Line,1,8,Wednesday,Weekday
11/1/2023 07:00,Suffolk Downs,Blue Line,4,25,Wednesday,Weekday
11/1/2023 07:00,Suffolk Downs,Blue Line,2,7,Wednesday,Weekday
11/1/2023 07:00,Wonderland,Blue Line,0,83,Wednesday,Weekday
11/1/2023 07:00,Wonderland,Blue Line,4,247,Wednesday,Weekday
11/1/2023 07:00,Wonderland,Blue Line,2,95,Wednesday,Weekday
11/1/2023 07:00,Wood Island,Blue Line,39,67,Wednesday,Weekday
11/1/2023 07:00,Wood Island,Blue Line,1,15,Wednesday,Weekday
11/1/2023 07:00,Government Center,Green Line,75,36,Wednesday,Weekday
11/1/2023 07:00,Government Center,Green Line,30,4,Wednesday,Weekday
11/1/2023 07:00,Government Center,Green Line,58,13,Wednesday,Weekday
11/1/2023 07:00,State Street,Orange Line,11,5,Wednesday,Weekday
11/1/2023 07:00,State Street,Orange Line,127,11,Wednesday,Weekday
11/1/2023 07:00,State Street,Orange Line,4,4,Wednesday,Weekday
11/1/2023 07:00,State Street,Orange Line,244,31,Wednesday,Weekday
11/1/2023 07:00,Courthouse,Silver Line,23,3,Wednesday,Weekday
11/1/2023 07:00,Courthouse,Silver Line,38,20,Wednesday,Weekday
11/1/2023 07:00,Courthouse,Silver Line,33,10,Wednesday,Weekday
11/1/2023 07:00,South Station,Silver Line,45,92,Wednesday,Weekday
11/1/2023 07:00,South Station,Silver Line,8,6,Wednesday,Weekday
11/1/2023 07:00,World Trade Center,Silver Line,12,12,Wednesday,Weekday
11/1/2023 07:00,World Trade Center,Silver Line,33,8,Wednesday,Weekday
11/1/2023 07:00,World Trade Center,Silver Line,7,12,Wednesday,Weekday
11/1/2023 07:30,Airport,Blue Line,3,4,Wednesday,Weekday
11/1/2023 07:30,Airport,Blue Line,78,58,Wednesday,Weekday
11/1/2023 07:30,Airport,Blue Line,5,94,Wednesday,Weekday
11/1/2023 07:30,Airport,Blue Line,17,151,Wednesday,Weekday
11/1/2023 07:30,Aquarium,Blue Line,87,2,Wednesday,Weekday
11/1/2023 07:30,Aquarium,Blue Line,21,5,Wednesday,Weekday
11/1/2023 07:30,Aquarium,Blue Line,162,14,Wednesday,Weekday
11/1/2023 07:30,Beachmont,Blue Line,2,47,Wednesday,Weekday
11/1/2023 07:30,Beachmont,Blue Line,35,112,Wednesday,Weekday
11/1/2023 07:30,Beachmont,Blue Line,3,53,Wednesday,Weekday
11/1/2023 07:30,Bowdoin,Blue Line,57,13,Wednesday,Weekday
11/1/2023 07:30,Bowdoin,Blue Line,108,3,Wednesday,Weekday
11/1/2023 07:30,Government Center,Blue Line,13,6,Wednesday,Weekday
11/1/2023 07:30,Government Center,Blue Line,9,0,Wednesday,Weekday
11/1/2023 07:30,Government Center,Blue Line,12,1,Wednesday,Weekday
11/1/2023 07:30,Maverick,Blue Line,18,0,Wednesday,Weekday
11/1/2023 07:30,Maverick,Blue Line,77,409,Wednesday,Weekday
11/1/2023 07:30,Maverick,Blue Line,6,11,Wednesday,Weekday
11/1/2023 07:30,Maverick,Blue Line,68,124,Wednesday,Weekday
11/1/2023 07:30,Orient Heights,Blue Line,3,40,Wednesday,Weekday
11/1/2023 07:30,Orient Heights,Blue Line,3,106,Wednesday,Weekday
11/1/2023 07:30,Orient Heights,Blue Line,3,24,Wednesday,Weekday
11/1/2023 07:30,Orient Heights,Blue Line,11,142,Wednesday,Weekday
11/1/2023 07:30,Revere Beach,Blue Line,1,15,Wednesday,Weekday
11/1/2023 07:30,Revere Beach,Blue Line,6,145,Wednesday,Weekday
11/1/2023 07:30,Revere Beach,Blue Line,21,12,Wednesday,Weekday
11/1/2023 07:30,State Street,Blue Line,2,0,Wednesday,Weekday
11/1/2023 07:30,State Street,Blue Line,26,2,Wednesday,Weekday
11/1/2023 07:30,State Street,Blue Line,1,0,Wednesday,Weekday
11/1/2023 07:30,State Street,Blue Line,37,2,Wednesday,Weekday
11/1/2023 07:30,Suffolk Downs,Blue Line,0,4,Wednesday,Weekday
11/1/2023 07:30,Suffolk Downs,Blue Line,1,41,Wednesday,Weekday
11/1/2023 07:30,Suffolk Downs,Blue Line,2,12,Wednesday,Weekday
11/1/2023 07:30,Wonderland,Blue Line,1,78,Wednesday,Weekday
11/1/2023 07:30,Wonderland,Blue Line,4,253,Wednesday,Weekday
11/1/2023 07:30,Wonderland,Blue Line,0,61,Wednesday,Weekday
11/1/2023 07:30,Wood Island,Blue Line,28,69,Wednesday,Weekday
