ObjectId,mode,season,route_id,route_name,direction_id,day_type_id,day_type_name,time_period_id,time_period_name,stop_name,stop_id,total_ons,total_offs,number_service_days,average_ons,average_offs,average_flow
69,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Saint Mary Street,place-smary,2818,5899,77,37,77,379
70,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,South Street,place-sougr,0,1110,77,0,14,20
71,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Science Park,place-spmnl,56391,56160,77,732,729,792
72,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Sutherland Road,place-sthld,109,2181,77,1,28,102
73,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Saint Paul Street,place-stplb,1485,3680,77,19,48,698
74,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Saint Paul Street,place-stpul,519,1900,77,7,25,342
75,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Summit Ave.,place-sumav,695,3691,77,9,48,201
76,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Symphony,place-symcl,3428,18412,77,45,239,554
77,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Tappan Street,place-tapst,229,2819,77,3,37,90
78,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Waban,place-waban,109,1641,77,1,21,250
79,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Washington Street,place-wascm,687,6057,77,9,79,129
80,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Woodland,place-woodl,2,3006,77,0,39,211
81,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Warren Street,place-wrnst,904,5835,77,12,76,199
82,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Allston Street,place-alsgr,978,9838,77,13,128,532
83,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Arlington,place-armnl,58915,63800,77,765,829,7881
84,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Babcock Street,place-babck,1281,10913,77,17,142,1218
85,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Back of the Hill,place-bckhl,0,3031,77,0,39,73
86,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Beaconsfield,place-bcnfd,613,9776,77,8,127,1049
